"","StefanoR2","Wanlip4","Dalderse","Galashiels","Slough","BURMAD","StefanoR1","StefanoR3","Stirling","Wanlip1","CRMAD","Wanlip3","BROMAD","Reading","MapleLodge","EPMAD","BLMAD","Wanlip2","Hawick","Howdon","DAVMAD","BranSands"
"519353",1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"563439",0,0,0,0,0,1,0,0,12,0,0,0,0,0,2,0,8,0,0,0,0,0
"100140",0,0,2,0,0,5,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
"680668",7,1,3,3,3,0,4,12,0,2,1,2,0,0,0,1,5,1,3,0,0,0
"16121",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4366843",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"199034",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2092172",0,36,75,1,0,45,2,1,0,38,48,10,7,0,21,146,61,57,0,0,0,0
"559513",0,21,82,8,0,0,1,0,2,841,0,75,4,192,275,0,2,4,233,0,0,1
"4390692",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"579550",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"1130344",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"306980",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"826749",0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,5,0,0,1,0,0
"4363246",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"4413917",0,2,1,0,0,0,1,0,0,2,0,0,1,0,1,2,0,2,0,0,0,0
"535405",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"455325",1,1,0,2,47,0,4,0,233,0,0,0,0,1,0,0,0,0,506,0,0,1
"629486",0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0
"4440670",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4446956",11,4,7,1,0,13,5,18,8,5,15,9,0,13,3,13,35,9,0,0,0,1
"1139645",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0
"537502",0,0,0,2,0,0,0,0,25,0,0,0,0,1,0,0,0,0,70,0,0,0
"347553",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0
"331038",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"186703",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"823190",9,89,58,74,2,4,4,0,89,26,0,161,17,0,1,0,0,158,0,0,0,0
"238697",0,0,0,3,0,0,1,0,2,2,0,2,0,373,6,1,7,3,0,407,1523,650
"1078207",2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0
