"","StefanoR2","Wanlip4","Dalderse","Galashiels","Slough","BURMAD","StefanoR1","StefanoR3","Stirling","Wanlip1","CRMAD","Wanlip3","BROMAD","Reading","MapleLodge","EPMAD","BLMAD","Wanlip2","Hawick","Howdon","DAVMAD","BranSands"
"4306202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"200854",0,5,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,6,0,0,0,0
"4339720",0,0,2,2,0,0,0,1,1,0,0,0,1,0,0,1,0,1,4,0,0,0
"120677",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"260788",0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"829038",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1103391",0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"13568",1,0,2,0,0,0,0,0,5,0,1,0,1,1,4,3,0,0,0,0,0,0
"207957",0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
"807693",2,1,0,1,0,0,1,1,1,0,0,0,0,4,0,0,1,0,0,16,0,2
"4340808",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"400480",0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0
"6825",0,0,0,0,0,2,0,0,1,0,0,0,2,1,1,0,11,2,0,0,0,0
"6674",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"365174",0,0,1,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
"569018",0,32,21,3,0,36,0,4,1,24,4,21,45,1,3,2,12,43,0,0,0,0
"798490",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1055824",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"875245",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"833489",2,17,0,0,13,0,0,0,4,13,0,36,1,0,0,0,0,44,0,0,0,0
"2251859",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
