Name,TaxLevel,Metabolism
Pyrococcus,Genus,Ferm
Rahnella,Genus,AerobicResp
Rarobacter,Genus,AerobicResp
Rathayibacter,Genus,AerobicResp
Reichenbachiella,Genus,AerobicResp
Rhizobium,Genus,AerobicResp
Rhodanobacter,Genus,AerobicResp
Rhodococcus,Genus,AerobicResp
Rhodonellum,Genus,AerobicResp
Rhodopirellula,Genus,AerobicResp
Rhodothermus,Genus,AerobicResp
Riemerella,Genus,AerobicResp
Rikenella,Genus,Ferm
Robiginitalea,Genus,AerobicResp
Roseburia,Genus,Ferm
Roseibium,Genus,AerobicResp
Roseivirga,Genus,AerobicResp
Roseivivax,Genus,AerobicResp
Roseococcus,Genus,AerobicResp
Roseomonas,Genus,AerobicResp
Roseovarius,Genus,AerobicResp
Rothia,Genus,Ferm
Rubritalea,Genus,AerobicResp
Rubrobacter,Genus,AerobicResp
Ruegeria,Genus,AerobicResp
Ruminobacter,Genus,Ferm
Ruminococcus,Genus,Ferm
Runella,Genus,AerobicResp
S Ox,Genus,Ferm
Saccharomonospora,Genus,AerobicResp
Saccharopolyspora,Genus,AerobicResp
Saccharothrix,Genus,AerobicResp
Sagittula,Genus,AerobicResp
Salana,Genus,AerobicResp
Salegentibacter,Genus,AerobicResp
Salinibacter,Genus,Ferm
Salinibacterium,Genus,AerobicResp
Salinicoccus,Genus,AerobicResp
Salinispora,Genus,AerobicResp
